instrument_id,exchange,segment,security_type,angel_token,angel_symbol,base_symbol,yahoo_symbol,validation_status,last_validated,is_active,data_source,remarks
EQ_NSE_ETERNAL,NSE,CASH,EQUITY,5097,ETERNAL-EQ,ETERNAL,ETERNAL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_MPHASIS,NSE,CASH,EQUITY,4503,MPHASIS-EQ,MPHASIS,MPHASIS.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_PETRONET,NSE,CASH,EQUITY,11351,PETRONET-EQ,PETRONET,PETRONET.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_PREMIERENE,NSE,CASH,EQUITY,25049,PREMIERENE-EQ,PREMIERENE,PREMIERENE.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_DIXON,NSE,CASH,EQUITY,21690,DIXON-EQ,DIXON,DIXON.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_INFY,NSE,CASH,EQUITY,1594,INFY-EQ,INFY,INFY.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_HCLTECH,NSE,CASH,EQUITY,7229,HCLTECH-EQ,HCLTECH,HCLTECH.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_WAAREEENER,NSE,CASH,EQUITY,25907,WAAREEENER-EQ,WAAREEENER,WAAREEENER.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_LTF,NSE,CASH,EQUITY,24948,LTF-EQ,LTF,LTF.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_IOC,NSE,CASH,EQUITY,1624,IOC-EQ,IOC,IOC.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_OIL,NSE,CASH,EQUITY,17438,OIL-EQ,OIL,OIL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_BHEL,NSE,CASH,EQUITY,438,BHEL-EQ,BHEL,BHEL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_AUROPHARMA,NSE,CASH,EQUITY,275,AUROPHARMA-EQ,AUROPHARMA,AUROPHARMA.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_TECHM,NSE,CASH,EQUITY,13538,TECHM-EQ,TECHM,TECHM.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_KALYANKJIL,NSE,CASH,EQUITY,2955,KALYANKJIL-EQ,KALYANKJIL,KALYANKJIL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_POWERINDIA,NSE,CASH,EQUITY,18457,POWERINDIA-EQ,POWERINDIA,POWERINDIA.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_POLYCAB,NSE,CASH,EQUITY,9590,POLYCAB-EQ,POLYCAB,POLYCAB.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_COFORGE,NSE,CASH,EQUITY,11543,COFORGE-EQ,COFORGE,COFORGE.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_APOLLOHOSP,NSE,CASH,EQUITY,157,APOLLOHOSP-EQ,APOLLOHOSP,APOLLOHOSP.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_HINDZINC,NSE,CASH,EQUITY,1424,HINDZINC-EQ,HINDZINC,HINDZINC.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_TORNTPOWER,NSE,CASH,EQUITY,13786,TORNTPOWER-EQ,TORNTPOWER,TORNTPOWER.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_SAIL,NSE,CASH,EQUITY,2963,SAIL-EQ,SAIL,SAIL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_ADANIENSOL,NSE,CASH,EQUITY,10217,ADANIENSOL-EQ,ADANIENSOL,ADANIENSOL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_TATAELXSI,NSE,CASH,EQUITY,3411,TATAELXSI-EQ,TATAELXSI,TATAELXSI.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_TATATECH,NSE,CASH,EQUITY,20293,TATATECH-EQ,TATATECH,TATATECH.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_WIPRO,NSE,CASH,EQUITY,3787,WIPRO-EQ,WIPRO,WIPRO.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_GLENMARK,NSE,CASH,EQUITY,7406,GLENMARK-EQ,GLENMARK,GLENMARK.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_TCS,NSE,CASH,EQUITY,11536,TCS-EQ,TCS,TCS.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_AMBER,NSE,CASH,EQUITY,1185,AMBER-EQ,AMBER,AMBER.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_BPCL,NSE,CASH,EQUITY,526,BPCL-EQ,BPCL,BPCL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_TRENT,NSE,CASH,EQUITY,1964,TRENT-EQ,TRENT,TRENT.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_OFSS,NSE,CASH,EQUITY,10738,OFSS-EQ,OFSS,OFSS.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_PERSISTENT,NSE,CASH,EQUITY,18365,PERSISTENT-EQ,PERSISTENT,PERSISTENT.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_APLAPOLLO,NSE,CASH,EQUITY,25780,APLAPOLLO-EQ,APLAPOLLO,APLAPOLLO.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_BHARATFORG,NSE,CASH,EQUITY,422,BHARATFORG-EQ,BHARATFORG,BHARATFORG.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_NHPC,NSE,CASH,EQUITY,17400,NHPC-EQ,NHPC,NHPC.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_VOLTAS,NSE,CASH,EQUITY,3718,VOLTAS-EQ,VOLTAS,VOLTAS.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_IEX,NSE,CASH,EQUITY,220,IEX-EQ,IEX,IEX.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_UNIONBANK,NSE,CASH,EQUITY,10753,UNIONBANK-EQ,UNIONBANK,UNIONBANK.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_NTPC,NSE,CASH,EQUITY,11630,NTPC-EQ,NTPC,NTPC.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_LT,NSE,CASH,EQUITY,11483,LT-EQ,LT,LT.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_JIOFIN,NSE,CASH,EQUITY,18143,JIOFIN-EQ,JIOFIN,JIOFIN.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_SUPREMEIND,NSE,CASH,EQUITY,3363,SUPREMEIND-EQ,SUPREMEIND,SUPREMEIND.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_DIVISLAB,NSE,CASH,EQUITY,10940,DIVISLAB-EQ,DIVISLAB,DIVISLAB.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_TMPV,NSE,CASH,EQUITY,3456,TMPV-EQ,TMPV,TMPV.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_TORNTPHARM,NSE,CASH,EQUITY,3518,TORNTPHARM-EQ,TORNTPHARM,TORNTPHARM.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_KPITTECH,NSE,CASH,EQUITY,9683,KPITTECH-EQ,KPITTECH,KPITTECH.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_ASHOKLEY,NSE,CASH,EQUITY,212,ASHOKLEY-EQ,ASHOKLEY,ASHOKLEY.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_POWERGRID,NSE,CASH,EQUITY,14977,POWERGRID-EQ,POWERGRID,POWERGRID.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_BAJFINANCE,NSE,CASH,EQUITY,317,BAJFINANCE-EQ,BAJFINANCE,BAJFINANCE.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_SBICARD,NSE,CASH,EQUITY,17971,SBICARD-EQ,SBICARD,SBICARD.NS,VALID,2026-05-16,True,YAHOO,
