TOKEN,SYMBOL
2885,RELIANCE-EQ
1594,INFY-EQ
11536,TCS-EQ
16669,HDFCBANK-EQ
1330,ICICIBANK-EQ
14977,HINDUNILVR-EQ
1660,SBIN-EQ
1394,BHARTIARTL-EQ
5258,ITC-EQ
3045,KOTAKBANK-EQ
317,AXISBANK-EQ
10999,LT-EQ
1363,BAJFINANCE-EQ
3456,HCLTECH-EQ
2475,WIPRO-EQ
3351,ASIANPAINT-EQ
3787,MARUTI-EQ
1232,SUNPHARMA-EQ
15083,TITAN-EQ
3426,ULTRACEMCO-EQ
1178,NESTLEIND-EQ
236,BAJAJFINSV-EQ
1856,TATAMOTORS-EQ
3506,TATASTEEL-EQ
1624,POWERGRID-EQ
2031,NTPC-EQ
3363,ONGC-EQ
3432,TECHM-EQ
1353,ADANIENT-EQ
25,ADANIPORTS-EQ
383,CIPLA-EQ
3010,DRREDDY-EQ
694,EICHERMOT-EQ
1163,GRASIM-EQ
3150,HDFCLIFE-EQ
467,HEROMOTOCO-EQ
1348,INDUSINDBK-EQ
11195,JSWSTEEL-EQ
3499,M&M-EQ
2037,SBILIFE-EQ
3273,COALINDIA-EQ
10604,BPCL-EQ
3243,IOC-EQ
10440,HINDALCO-EQ
6336,TATAPOWER-EQ
7229,ZOMATO-EQ
14414,PAYTM-EQ
13751,NAUKRI-EQ
11378,DEEPAKNTR-EQ
